1:	 #1 	"1-2" 	 COMMENT 	 NESTED_COMMENT 	 <-enumerated
1:	 #2 	"1-3" 	 COMMENT 	 NESTED_COMMENT 	 <-enumerated
1:	 #3 	"1-4" 	 COMMENT 	 BLOCK_COMMENT 	 <-enumerated
6:	 #4 	"" 	 COMMENT 	 LINE_COMMENT 	 <-enumerated
7:	 #5 	"*" 	 OPERATOR 	 TIMES 	 <-enumerated
7:	 #6 	"/" 	 OPERATOR 	 DIVIDE 	 <-enumerated
8:	 #7 	"fasfaf" 	 ID 	 "this_is_an_id" 	 <-char*
8:	 #8 	"*" 	 OPERATOR 	 TIMES 	 <-enumerated
8:	 #9 	"/" 	 OPERATOR 	 DIVIDE 	 <-enumerated
11:	 #10 	"function" 	 KEYWORD 	 FUNCTION 	 <-enumerated
11:	 #11 	"main" 	 ID 	 "this_is_an_id" 	 <-char*
11:	 #12 	"(" 	 PUNCTUATION 	 LEFT_PARENTHESES 	 <-enumerated
11:	 #13 	"arg1" 	 ID 	 "this_is_an_id" 	 <-char*
11:	 #14 	")" 	 PUNCTUATION 	 RIGHT_PARENTHESES 	 <-enumerated
11:	 #15 	"{" 	 PUNCTUATION 	 LEFT_BRACE 	 <-enumerated
12:	 #16 	"if" 	 KEYWORD 	 IF 	 <-enumerated
12:	 #17 	"(" 	 PUNCTUATION 	 LEFT_PARENTHESES 	 <-enumerated
12:	 #18 	"arg1" 	 ID 	 "this_is_an_id" 	 <-char*
12:	 #19 	"==" 	 OPERATOR 	 EQUALS_EQUALS 	 <-enumerated
12:	 #20 	"5" 	 CONST_INT 	 5 	 <-integer
12:	 #21 	")" 	 PUNCTUATION 	 RIGHT_PARENTHESES 	 <-enumerated
12:	 #22 	"{" 	 PUNCTUATION 	 LEFT_BRACE 	 <-enumerated
13:	 #23 	"return" 	 KEYWORD 	 RETURN 	 <-enumerated
13:	 #24 	"0" 	 CONST_INT 	 0 	 <-integer
13:	 #25 	";" 	 PUNCTUATION 	 SEMICOLON 	 <-enumerated
14:	 #26 	"}" 	 PUNCTUATION 	 RIGHT_BRACE 	 <-enumerated
15:	 #27 	"else" 	 KEYWORD 	 ELSE 	 <-enumerated
15:	 #28 	"{" 	 PUNCTUATION 	 LEFT_BRACE 	 <-enumerated
16:	 #29 	"return" 	 KEYWORD 	 RETURN 	 <-enumerated
16:	 #30 	"1" 	 CONST_INT 	 1 	 <-integer
16:	 #31 	";" 	 PUNCTUATION 	 SEMICOLON 	 <-enumerated
17:	 #32 	"" 	 COMMENT 	 LINE_COMMENT 	 <-enumerated
18:	 #33 	"}" 	 PUNCTUATION 	 RIGHT_BRACE 	 <-enumerated
19:	 #34 	"}" 	 PUNCTUATION 	 RIGHT_BRACE 	 <-enumerated
